,ID,Alter ,Global,Overview,Cardinal
0,365.0,37.0,5.6,6.285714285714286,2.5
1,3572.0,23.0,5.7,3.142857142857143,1.0
2,7264.0,23.0,4.7,5.0,1.0
3,8469.0,29.0,4.2,2.857142857142857,1.0
5,6642.0,19.0,4.9,4.714285714285714,4.0
6,5741.0,19.0,3.5,3.2857142857142856,2.5
7,4176.0,23.0,5.5,3.5714285714285716,4.0
8,7842.0,23.0,4.1,2.857142857142857,2.0
10,9472.0,21.0,5.8,4.571428571428571,4.5
11,9502.0,20.0,5.3,6.857142857142857,3.0
12,7093.0,19.0,4.2,5.0,1.5
13,4623.0,32.0,2.1,2.0,2.0
14,2258.0,23.0,5.4,6.428571428571429,4.5
15,5238.0,24.0,3.3,5.714285714285714,2.5
16,1754.0,23.0,3.8,1.7142857142857142,1.0
17,8695.0,29.0,5.777777777777778,4.142857142857143,3.5
18,5531.0,21.0,2.5,2.4285714285714284,1.0
19,3976.0,21.0,3.9,3.4285714285714284,1.5
20,7412.0,20.0,5.1,4.571428571428571,4.5
21,4796.0,20.0,2.9,4.142857142857143,1.0
