,,,
ID,Score,Category,Clarity
1,3.866666667,Bakery Clarity,TRUE
1,4.266666667,Bakery Support ,FALSE
2,4.666666667,Furniture Support,FALSE
2,4.4,Furniture Clarity ,TRUE
3,4.933333333,Maraz Coffer Support ,FALSE
3,4.8,Maraz Coffee Clarity,TRUE
4,4.866666667,Pizzeria Support ,FALSE
4,4.8,Pizzeria Clarity,TRUE
5,4.533333333,Patisserie Support ,FALSE
5,4.466666667,Patisserie Clarity ,TRUE
6,4.333333333,Chloting Store Support ,FALSE
6,4.133333333,Clothing Store Clarity ,TRUE
7,3.933333333,A table Clarity ,TRUE
7,4.2,A table Support ,FALSE
8,4.533333333,Pub Clarity ,TRUE
8,4.6,Pub Support ,FALSE
9,3.666666667,Sandwich Clarity ,TRUE
9,4,Sandwich Support ,FALSE
10,3.933333333,Roasterie Clarity ,TRUE
10,3.933333333,Rostiserie Support ,FALSE
11,4.066666667,Sushi Support ,FALSE
11,3.866666667,Sushi Clarity ,TRUE
12,4.133333333,Donuts Support ,FALSE
12,3.933333333,Donuts Clarity ,TRUE
13,4.333333333,Strechnits Support ,FALSE
13,4.2,Strechnits Clarity ,TRUE
14,3.666666667,Lotto Clarity ,TRUE
14,3.733333333,Lotto Support ,FALSE
15,3.133333333,FishChips Support ,FALSE
15,3.133333333,FishChips Clarity,TRUE
16,4.933333333,Bicycle Support ,FALSE
16,4.866666667,Bicycle Clarity ,TRUE
17,4.866666667,Book Clarity ,TRUE
17,4.866666667,Book Support ,FALSE
18,4.466666667,Shisha Clarity ,TRUE
18,4.533333333,Shisha Support ,FALSE
19,3.8,Tool store Clarity ,TRUE
19,4.266666667,Tool Store Support ,FALSE
20,4.666666667,Green Store Support ,FALSE
20,4.533333333,Green Store Clarity ,TRUE
21,4.733333333,Car shop Support ,FALSE
21,4.666666667,Car shop Clarity ,TRUE
22,3.733333333,Grocery store Clarity ,TRUE
22,3.8,Grocery store Support ,FALSE
23,4.6,Wine Support ,FALSE
23,4.466666667,Wine Clarity ,TRUE
24,4.866666667,La cantine Support ,FALSE
24,4.8,La cantine Clarity ,TRUE
25,4.666666667,Basketball Clarity ,TRUE
25,4.8,Basketball Support ,FALSE
26,5,Construction worker Support ,FALSE
26,4.933333333,Construction worker Clarity ,TRUE
