Bakery Clarity,Bakery Support ,Furniture Support,Furniture Clarity ,Maraz Coffer Support ,Maraz Coffee Clarity,Pizzeria Support ,Pizzeria Clarity,Patisserie Support ,Patisserie Clarity ,Clothing Store Support ,Clothing Store Clarity ,A_Table Clarity ,A_Table Support ,Pub Clarity ,Pub Support ,Sandwich Clarity ,Sandwich Support ,Roasterie Clarity ,Roasterie Support ,Sushi Support ,Sushi Clarity ,Donuts Support ,Donuts Clarity ,Strechnits Support ,Strechnits Clarity ,Lotto Clarity ,Lotto Support ,FishChips Support ,FishChips Clarity,Bicycle Support ,Bicycle Clarity ,Book Clarity ,Book Support ,Shisha Clarity ,Shisha Support ,Tool store Clarity ,Tool Store Support ,Green Store Support ,Green Store Clarity ,Car shop Support ,Car shop Clarity ,Grocery store Clarity ,Grocery store Support ,Wine Support ,Wine Clarity ,La_Cantine Support ,La_Cantine Clarity ,Basketball Clarity ,Basketball Support ,Construction_Worker Support ,Construction_Worker  Clarity 
4,4,5,4,5,5,5,5,4,3,3,2,3,2,5,5,3,4,3,2,2,3,2,2,4,3,5,5,2,2,5,5,5,5,5,5,4,3,4,4,3,1,2,2,5,4,5,4,5,5,5,4
3,4,5,4,5,5,5,5,5,4,3,3,5,5,5,5,4,4,4,2,5,4,5,5,4,4,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,5,2,1,5,5,5,5,2,3,5,5,5,5,5,5,5,4,2,3,4,4,5,5,5,5,5,5,5,5,3,5,5,5
3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,1,1,3,3,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,1,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,4,4,3,4,4,5,5,1,1,1,1,5,5,5,5,5,5,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
4,4,3,4,5,5,5,5,5,5,5,5,3,3,3,3,1,1,1,3,3,3,3,1,2,1,1,1,1,1,5,5,5,5,2,2,5,5,5,5,5,5,1,1,1,1,5,5,5,3,5,5
4,4,4,3,5,4,4,2,4,3,4,2,4,4,4,4,2,2,2,1,4,3,1,2,4,3,4,4,2,1,5,5,4,4,4,5,4,4,4,4,5,5,1,1,4,4,4,4,5,5,5,5
5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,5,5,4,5,3,4,2,2,3,4,4,4,3,3,4,4,3,3,4,4,3,4,3,3,1,1,5,4,5,5,3,3,3,3,4,3,5,5,4,3,4,4,5,5,5,5,5,5
4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5
3,2,3,2,4,3,5,5,4,3,4,4,5,5,3,3,3,3,4,4,4,4,4,3,4,4,5,5,5,5,4,4,4,4,4,4,3,4,4,3,5,5,4,4,5,4,4,4,3,4,5,5
